A,EB,MS,S,FM,LF,HS,DP,LP,OHV,HV,SLF,LONI,GDPPCA,LNI,LFDLE,TE,EIR,TA,LANI,API,APE,LNICTI,LCEC,LC,Stability,ALRBL,BLNR,BS,PL,B,NLP,LLR,SR,G,APS,UNPROFOR,UNPROFOR relations,PCNIRH,PCAO,RGDPGR ,CPI,SDR,EC,Class
1,0.4,0.8,1,0.75,0.5,0.833,0.75,0.75,0.078,0.078,0.25,0.048,0.11,0.121,0.473,0.703,0.198,0.056,0.044,0.135,0.852,0.118,1,1,0.25,1,1,0,1,1,0,0.5,0.25,1,0.24,0,0,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
0.579,0.4,1,1,1,1,0.583,0,0.5,0.207,0.207,0.5,0.242,0.125,0.309,0.342,0.586,0.485,0.212,0.144,0.059,0.985,0.38,0.589,1,1,0.841,0,0,1,1,0.25,0.75,0.25,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.947,0.4,1,1,0.75,0.5,0.833,0.75,0.5,0.156,0.156,0.5,0.292,0.203,0.335,0.342,0.671,0.598,0.233,0.146,0.53,0.407,0.073,1,1,1,0.709,0,0,1,1,0,0.5,0.25,0,0,1,1,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,1,0.259,0.259,0.25,0.082,0.047,0.123,0.737,0.833,0.48,0.135,0.035,0.032,0.975,0.404,0.909,1,1,1,1,0,1,1,0,0.5,0.25,1,0.128,0,0,0.422,0.313,0.163,0.883,1,0.59,Farmers-good
0.947,0.4,1,1,1,0.5,0.667,0.5,1,0.13,0.13,0.75,0.841,0.19,0.782,0.789,0.758,0.857,0.141,0.622,0.663,0.433,0.011,0.429,1,1,1,1,0,1,1,0,0.5,0.75,0,0,1,1,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
1,0.4,1,1,0.75,0.5,0.833,0.75,0.5,0.052,0.052,0.25,0.039,0.072,0.075,0.842,0.888,0.441,0.03,0.037,0.036,0.971,0.185,0.931,1,1,1,1,0,1,1,0,0.5,0.25,0,0,1,1,0.16,0.526,0.443,0.986,0.295,0.079,Farmers-good
1,0.4,1,1,1,1,0.917,0.75,1,0.086,0.086,0.5,0.826,0.501,0.748,0.842,0.862,0.913,0.378,0.617,0.2,1,0,1,1,1,1,1,0.001,1,1,0,0.5,0.25,0,0,1,1,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
1,0,1,1,1,0.5,0.5,0.25,0.5,0.181,0.181,0.5,0.305,0.142,0.393,0.342,0.44,0.458,0.518,0,0,1,1,0.829,1,1,1,1,0,1,1,0,0.5,0.25,1,0.133,0,0,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
0.842,0.6,0.8,1,1,1,1,1,0.75,0.441,0.441,0.75,0.315,0.195,0.368,0.473,0.599,0.563,0.341,0,0,1,1,1,1,1,1,1,0.013,1,1,0,0.5,0.5,0,0,1,1,0.335,0.71,0.484,0.943,0.472,0.934,Farmers-good
1,0.6,1,0.8,0.75,0.5,0.833,0.75,1,0.13,0.13,0.25,0.116,0.062,0.137,0.868,0.907,0.706,0.095,0.039,0.015,0.997,0.615,0.886,1,1,1,1,0,1,1,0,0.5,0.75,0,0,1,1,0.531,0.507,0.357,0.929,0.535,0.577,Farmers-good
0.579,0.4,1,1,0.75,0.5,0.833,0.75,1,0.259,0.259,0.5,0.267,0.24,0.287,0.737,0.802,0.703,0.212,0.236,0.149,0.911,0,1,1,0.75,1,1,0,1,1,0,0.5,0.25,0,0,1,0.5,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
0.421,0.6,0.8,1,0.5,0.5,1,1,0.25,0.467,0.467,0.75,0.183,0.123,0.236,0.671,0.7,0.505,0.264,0,0,1,1,1,1,0.25,1,1,0,1,1,0,0.5,0.5,1,0.088,0,0,0.327,0.675,0.647,1,0.375,0.491,Farmers-good
1,0.4,1,1,0.5,0.5,1,1,1,0.207,0.207,0.5,0.399,0.672,0.398,0.737,0.802,0.779,0.399,0.329,0.409,0.628,0,1,1,1,1,1,0,1,1,0,0.5,0.25,1,0.088,0,0,0.238,0.56,0.379,0.764,0.377,0.842,Farmers-good
0.842,0.6,1,1,0.5,0.5,1,1,0.75,0.518,0.518,0.75,0.428,0.12,0.458,0.342,0.631,0.661,0.423,0.065,0.027,0.993,0.79,1,1,0.75,0.788,0,0,1,1,0.25,0.75,0.5,0,0,1,1,0.75,0.316,0.135,0.994,0.449,0.701,Farmers-good
